branch-load-misses,branch-loads,dTLB-loads,dTLB-stores,iTLB-loads,iTLB-stores,L1-dcache-load-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,L1-icache-store-misses,node-loads,node-stores,branch-instructions,branch-misses,instructions,type,apk
22231281,459220072,3615348520,3615130711,5559349,4426232,510785,0,1893004279,7023,0,0,0,474597305,7345202,9250175934,benign,07335B8BB110400735447EDB8083FAFED6AFE4D7F6994E6B1FA9FCACF3D44671.apk
59660,359262237,2507361675,2481593430,5094028,4463767,287864,0,3423613277,982,0,0,0,214182546,1896654,4237503673,benign,07335B8BB110400735447EDB8083FAFED6AFE4D7F6994E6B1FA9FCACF3D44671.apk
0,225806663,1599254693,1614180757,4413343,4283972,11854,0,3692593292,0,0,0,0,180125046,4905684,3323625499,benign,07335B8BB110400735447EDB8083FAFED6AFE4D7F6994E6B1FA9FCACF3D44671.apk
60363,440544534,3682527458,3678506906,3522557,3269188,0,0,2532848376,0,0,0,0,128643653,1158317,2561015199,benign,07335B8BB110400735447EDB8083FAFED6AFE4D7F6994E6B1FA9FCACF3D44671.apk
48866,460681442,3657896594,3663520543,971043,989526,0,0,1861697853,0,0,0,0,104549825,1109404,2052082996,benign,07335B8BB110400735447EDB8083FAFED6AFE4D7F6994E6B1FA9FCACF3D44671.apk
0,359906621,2900760275,2880158346,5182640,4954623,0,0,1509851246,0,0,0,0,89317985,907611,1806788461,benign,07335B8BB110400735447EDB8083FAFED6AFE4D7F6994E6B1FA9FCACF3D44671.apk
0,268620921,2248487558,2277288340,7139811,7141341,0,0,1243701902,0,0,0,0,624024178,11646649,11976869034,benign,07335B8BB110400735447EDB8083FAFED6AFE4D7F6994E6B1FA9FCACF3D44671.apk
0,433318648,3411214478,3405307381,8130847,8130914,0,0,900614809,0,0,0,0,310797729,3951636,6104126596,benign,07335B8BB110400735447EDB8083FAFED6AFE4D7F6994E6B1FA9FCACF3D44671.apk
233909,463139299,3818825505,3818686670,9510979,9511085,26132,0,816585648,0,0,0,0,207673765,2420886,3996820873,benign,07335B8BB110400735447EDB8083FAFED6AFE4D7F6994E6B1FA9FCACF3D44671.apk
18777,335097434,2363282567,2332024371,6035773,5933163,0,0,3597876922,0,0,0,0,157116526,2072665,3022232559,benign,07335B8BB110400735447EDB8083FAFED6AFE4D7F6994E6B1FA9FCACF3D44671.apk
0,462523075,3732581140,3732455380,1787380,1619632,0,0,1102108162,0,0,0,0,481370928,5351661,9310572462,malicious,FFBC9D019FB9A46879788CC4AE7D74D97E95526084451845D9537F10E2A9E39E.apk
0,467064282,3767122425,3767122425,1358314,1386410,0,0,3484064948,0,0,0,0,313849316,2873093,4112575286,malicious,FFBC9D019FB9A46879788CC4AE7D74D97E95526084451845D9537F10E2A9E39E.apk
0,350679436,2941854236,2907382722,1688070,1432443,0,0,3873947964,2646,0,0,0,596117789,8843898,11612713872,malicious,FFBC9D019FB9A46879788CC4AE7D74D97E95526084451845D9537F10E2A9E39E.apk
0,314818974,2585266004,2592180405,3949771,3882108,0,0,3876072874,0,0,0,0,311477699,3361135,6046076333,malicious,FFBC9D019FB9A46879788CC4AE7D74D97E95526084451845D9537F10E2A9E39E.apk
0,470134445,3693044169,3691619826,7750388,7750611,0,0,3898158780,0,0,0,0,623112366,11779080,11968386191,malicious,FFBC9D019FB9A46879788CC4AE7D74D97E95526084451845D9537F10E2A9E39E.apk
2988896,359454605,2929466420,2933451417,8393255,8393548,65309,0,1934880309,0,0,0,0,318171804,4228575,6122984612,malicious,FFBC9D019FB9A46879788CC4AE7D74D97E95526084451845D9537F10E2A9E39E.apk
0,196377881,1592940891,1591682507,6027061,6472304,0,0,2242525976,0,0,0,0,202757117,2452480,3946347916,malicious,FFBC9D019FB9A46879788CC4AE7D74D97E95526084451845D9537F10E2A9E39E.apk
0,344393073,2418844050,2410279011,6185702,6199878,0,0,3824056740,0,0,0,0,317169404,5522495,6011256429,malicious,FFBC9D019FB9A46879788CC4AE7D74D97E95526084451845D9537F10E2A9E39E.apk
0,224601553,1880400462,1895478882,4747818,3075563,0,0,3781952698,6040,0,0,0,309576867,3067952,5903569498,malicious,FFBC9D019FB9A46879788CC4AE7D74D97E95526084451845D9537F10E2A9E39E.apk
0,137202671,1147348527,1152530062,2610623,2633152,0,0,3920891284,0,0,0,0,321252288,3458694,6324806493,malicious,FFBC9D019FB9A46879788CC4AE7D74D97E95526084451845D9537F10E2A9E39E.apk
